Ano,Turma,Curso,Proposta de Produção (descrever),Espaço do CC,Tipo,,,Ano,Turma,Curso,Proposta de Produção (descrever),Espaço do CC,Tipo
1,"3,4,5,6,7,8",MMD,"""Utilização de resíduos alimentares como adsorventes no tratamento sustentável de efluentes contaminados",SALA A120,Protótipo,,,2,"1,2",MKD,Barulho: Poluição ou energia sustentável?,Saguão,Protótipo
1,"1,2",CDD,Horta hidropônica,Saguão,,,,2,1,TI,"Mapa ""Nossa escola é sustentável até que ponto?""",Saguão,exposição
1,"1,2,3,4/1,2,3",MMD/IOT,Protótipo da casa sustentável automatizada,Mezanino do Cavalo,Protótipo,,,2,1,TI,Avaliação para os visitantes,Saguão,exposição
1,Todas,Todas,Cosmologias e mitologias,Multiuso 1,exibição - vídeo,,,2,,TI/ IOT,Agua: Futuro Ancestral,Saguão,Exposição
1,"1,2",MKT,Produções indígenas - povos originários - exibição de vídeos e panfleto revista,Multiuso 2,Exposição livreto + objetos (acervo pessoal prof Pedro),,,2,,MMD,Ilha sustentável - Minegraft,,Realidade Virtual
1,Todas,Todos,Se essa rua fosse nossa - A rua como espaço de ocupação social e cultural,Saguão,Imersão,,,2,,MMD,"Vozes visuais da cidade: acessibilidade, sustentabilidade e nós urbano"".",Saguão,Exposição
1,2,IA,"São Paulo, o amanhã não está à venda",Saguão,exposição fotográfica,,,3,3,IOT,Qualidade de vida no trânsito,Auditório 3 e 4,Protótipo
1,1,IA,Um museu do futuro - Catálogo do amanhã: vistam-se para o Fim,Saguão,exposição fotográfica,,,3,4,IOT,Qualidade de vida no trânsito,Auditório 3 e 4,Protótipo
,3,ADM,Ecos do silício - Memórias de um mundo desligado,Multiuso 1,EXIBIÇÃO DE VÍDEO,,,3,5,TI,O custo da tela,Saguão,Exposição
1,1 e 2,ADM,Para todo os plásticos que eu já usei,Saguão,,,,3,"1,2",IOT,Atmosfera e material particulado,Auditório 3 e 4,Protótipo
1,Todas,Todas,A Matemática e a tecnologia em função da sustentabilidade,Auditório 3 e 4,Exposição,,,3,"1,3,4,5",MMD,Aquecedores solares de baixo custo,Auditório 3 e 4,protótipo
1,1 a 8,MMD,Design em Movimento,Mezanino banheiro,exposição - esculturas,,,3,6,TI,Não existe jogar fora (globo terrestre),Saguão,exposição
,,,,,,,,3,"1, 2,2003",ADM,Produção de cosméticos e/ou sabonetes líquidos com sementes,LAB - RESERVAR,oficina
2,1,IOT,O problema da água (ainda) não é escassez (curta metragem),Saguão,Exibição - vídeo,,,3,"1, 2 e 8",MMD,Lixotour - Sala ambiente sobre Polímeros não biodegradáveis x polímeros degradáveis,Multiuso 4,Oficina
2,2,IOT,"Concreto, Ferro e Silêncio: Um barraco na Feira de Ciências (instalação)",Saguão,Exposição,,,3,1,TI,Placas de relação de ODS produzidas com plástico tipo 2 reciclado,Saguão,Exposição
2,3,IOT,"Cof, Cof, Cof: o quão difícil é respirar o ar de São Paulo? (imersão)",Auditório 2,Imersão,,,3,2,TI,Jogo EcoLar - Jogo sobre gestão dos resíduos domésticos,Saguão,Exposição
2,4,IOT,A última gota não será limpa (instalação),Área externa,Exposição,,,3,2,TI,Fotografia: Banquete de consequências.,Saguão,Exposição
2,"3,4",MMD,Calçadas Sustentaveis,Saguão,Protótipo,,,3,2,TI,Coleta de Dados - Como as pessoas estão descartando os Resíduos.,Saguão,Exposição
2,"1,2",CDD,Prototipagem de tecnologias verdes: movimento e eletricidade,Auditório 3 e 4,Protótipo,,,3,3,TI,RobôLixo Consciente,Auditório 3 e 4,Exposição
2,"2,3,4",TI,Prototipagem de tecnologias verdes: movimento e eletricidade,Auditório 3 e 4,Protótipo,,,3,3,TI,Projeto Gladsi,Saguão,Exposição
2,"1,2",MMD,Sensor de raios UV com arduino,Auditório 3 e 4,Protótipo,,,3,3,TI,Microplástico,Saguão,Exposição
2,"1,2",CDD,Painel de LED dados de consumo,Saguão,exibição,,,3,3,TI,Embalagens Inteligentes,Auditório 3 e 4,Exposição
2,"1,2,3,4,5,6,7,8",MMD,Exposição Logos da feira abaixo da escada,Saguão,Expositivo,,,3,3,TI,Jogo da memória Gigante,Área externa,Exposição
2,todas,CHS,Foi um rio que passou em nossas vidas,Saguão,Imersão,,,3,3,TI,Quebra Cabeça Gigante,Área externa,Exposição
2,"7,8",MMD,Cortina de difração com reciclaveis,Mezanino do Cavalo,Protótipo,,,3,"1,2,3,4,5,6,7,8",MMD,Super Integrada – Webgame 2D (Jogos Marcadores Sociais),Multiuso 5,Jogos interativos
2,1,ADM,A vida se transforma,Multiuso 3,exposição,,,3,"1,2,3,4,5,6,7,8",MMD,"Jogo de comparação entre dados entre países desenvolvido, em desenvolvidos e não desenvolvidos",Multiuso 5,É expositivo.
2,"5,6",MMD,"Alvenaria verde: maquete de bioconstrução com materiais argilosos, fibrosos e protótipo de fungo",Mezanino do Cavalo,protótipo,,,3,"1,2,3",ADM,"Inforgráfico de material reciclável comparação entre dados entre países desenvolvido, em desenvolvidos e não desenvolvidos",Auditório 3 e 4,Expositivo
2,3,ADM,Exposição: Startup de bioconstrução,Mezanino do Cavalo,exposição,,,3,"1,2,3,4,5,6",TI,Produção do Tabuleiro de Galton,Multiuso 5,Expositivo
,,,,,,,,3,"1,2,3,4",IOT,Produção do Tabuleiro de Galton,Multiuso 5,Expositivo
,,,,,,,,3,,todos,Performances dos mantos/narrativas,Saguão,protestos
,,,,,,,,3,todas,IOT,Senac Sustentável,Mezanino do Cavalo,Protótipo